fips_code,state_id,state_name,year,niaaa_pop_21_plus,census_total_pop,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
19,IA,Iowa,2010,2182222,3049883,0.7150,0.1000,0.1260,0.1200,0.1440,0.1240,0.1490,0.4940,0.5060,0.5380,0.0650,0.1050,0.0130,0.2790,0.0940,0.3370,0.3190,0.1710,0.0790,0.6390,0.0460,0.0010,0.3140,0.169,0.19,116535.7,106224.6,38190,34811,47961,76632000,35.12,,
20,KS,Kansas,2010,2003312,2859169,0.7000,0.1020,0.1300,0.1220,0.1430,0.1160,0.1330,0.4960,0.5040,0.5260,0.0600,0.1160,0.0150,0.2830,0.1080,0.2780,0.3160,0.1930,0.1050,0.6200,0.0530,0.0060,0.3200,0.151,0.18,113843,103304,39822,36135,48257,57643348,28.77,,
21,KY,Kentucky,2010,3139616,4346266,0.7220,0.0970,0.1300,0.1330,0.1470,0.1250,0.1330,0.4920,0.5080,0.5040,0.0680,0.1300,0.0230,0.2740,0.1810,0.3430,0.2710,0.1240,0.0810,0.5280,0.0660,0.0090,0.3970,0.119,0.08,144335.6,131377.4,33187,30208,40062,78647000,25.05,,
22,LA,Louisiana,2010,3223137,4544228,0.7080,0.1060,0.1370,0.1260,0.1430,0.1190,0.1230,0.4900,0.5100,0.4480,0.0660,0.1210,0.0270,0.3380,0.1810,0.3440,0.2620,0.1440,0.0700,0.5540,0.0620,0.0040,0.3790,0.15,0.32,173007.3,159616.1,38067,35121,42505,116343000,36.1,,
23,ME,Maine,2010,1000421,1327567,0.7530,0.0880,0.1090,0.1290,0.1630,0.1450,0.1590,0.4890,0.5110,0.5080,0.0650,0.1380,0.0140,0.2750,0.0970,0.3440,0.2910,0.1730,0.0950,0.5890,0.0530,0.0020,0.3550,0.145,0.35,50487,46126.8,38018,34735,45815,32395000,32.38,,
24,MD,Maryland,2010,4190574,5785982,0.7240,0.0970,0.1330,0.1370,0.1560,0.1210,0.1220,0.4840,0.5160,0.4760,0.0600,0.0940,0.0260,0.3440,0.1190,0.2590,0.2610,0.1970,0.1640,0.6280,0.0610,0.0060,0.3050,0.146,0.09,287359.4,254446.7,49617,43934,68854,99474184,23.74,,
25,MA,Massachusetts,2010,4839767,6557254,0.7370,0.1040,0.1290,0.1350,0.1540,0.1230,0.1380,0.4830,0.5170,0.4650,0.0610,0.0960,0.0200,0.3580,0.1090,0.2620,0.2390,0.2230,0.1670,0.6070,0.0690,0.0010,0.3230,0.178,0.11,346269.9,303598.9,52708,46213,62072,126541363,26.15,,
26,MI,Michigan,2010,7089538,9877574,0.7160,0.0980,0.1180,0.1290,0.1530,0.1270,0.1390,0.4910,0.5090,0.4880,0.0630,0.1160,0.0150,0.3180,0.1130,0.3090,0.3260,0.1560,0.0960,0.5280,0.0940,0.0010,0.3780,0.15,0.2,352074.3,321080.3,35635,32498,45413,196593940,27.73,,
27,MN,Minnesota,2010,3806671,5310584,0.7160,0.0940,0.1350,0.1280,0.1520,0.1200,0.1290,0.4960,0.5040,0.5250,0.0530,0.0970,0.0110,0.3140,0.0820,0.2730,0.3270,0.2150,0.1030,0.6450,0.0590,0.0010,0.2960,0.172,0.15,225971.6,201253.4,42539,37886,55459,108965000,28.62,,
28,MS,Mississippi,2010,2077491,2970036,0.6980,0.1050,0.1270,0.1300,0.1390,0.1180,0.1290,0.4850,0.5150,0.4590,0.0690,0.1200,0.0300,0.3220,0.1900,0.3060,0.3090,0.1240,0.0710,0.5100,0.0720,0.0050,0.4130,0.099,0.43,92714.4,85848.4,31213,28902,36851,72602000,34.95,,
