,fips_code,high_tourist_border_sales,year,niaaa_pop_21_plus,census_total_pop,census_total_pop_21_plus,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,census_percent_pop_in_poverty_est,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
103,2,1,2012,512143,731449,512746,0.701,0.109,0.149,0.131,0.142,0.128,0.085,0.521,0.479,0.477,0.038,0.124,0.02,0.341,0.08,0.28,0.359,0.171,0.109,0.623,0.053,0.028,0.296,0.168,1.07,38997.1,35945.3,53340,49166,67712,0.1,15144663,29.57,5288910.0,10.33
104,4,0,2012,4660528,6553255,4652811,0.71,0.1,0.134,0.127,0.128,0.117,0.148,0.498,0.502,0.473,0.055,0.125,0.02,0.327,0.143,0.243,0.341,0.172,0.102,0.54,0.059,0.004,0.398,0.153,0.16,236431.4,214865.8,36333,33019,47826,0.19,134444431,28.85,2886193.0,0.62
105,5,0,2012,2119676,2949131,2108629,0.715,0.098,0.129,0.125,0.134,0.123,0.15,0.491,0.509,0.505,0.069,0.133,0.023,0.269,0.152,0.352,0.286,0.138,0.072,0.542,0.05,0.002,0.406,0.118,0.24,107007.4,97557.8,36287,33083,40112,0.201,53506371,25.24,174809.0,0.08
106,6,0,2012,27093829,38041430,27085498,0.712,0.106,0.144,0.136,0.137,0.113,0.121,0.497,0.503,0.461,0.051,0.098,0.024,0.366,0.185,0.206,0.3,0.196,0.113,0.561,0.072,0.005,0.362,0.169,0.2,1814763.0,1590509.7,47794,41888,58328,0.159,676306044,24.96,76067583.0,2.81
107,8,0,2012,3746026,5187582,3735059,0.72,0.099,0.146,0.137,0.14,0.124,0.118,0.501,0.499,0.506,0.044,0.124,0.017,0.309,0.094,0.218,0.313,0.238,0.137,0.626,0.053,0.008,0.313,0.192,0.08,236033.0,208823.5,45490,40246,56765,0.119,108024352,28.84,40044901.0,10.69
108,9,0,2012,2638736,3590347,2638905,0.735,0.095,0.12,0.128,0.158,0.13,0.148,0.487,0.513,0.482,0.06,0.106,0.014,0.338,0.101,0.278,0.25,0.205,0.166,0.608,0.066,0.003,0.323,0.175,0.24,229133.1,196342.0,63555,54460,67276,0.103,57512662,21.8,1269357.0,0.48
109,10,1,2012,671454,917092,668560,0.729,0.102,0.124,0.122,0.146,0.129,0.153,0.485,0.515,0.474,0.062,0.118,0.02,0.327,0.115,0.315,0.274,0.181,0.114,0.582,0.056,0.004,0.359,0.186,0.16,40122.6,35844.3,43775,39107,58415,0.135,22170890,33.02,5604614.0,8.35
110,11,1,2012,493229,632323,486889,0.77,0.132,0.22,0.135,0.12,0.107,0.114,0.473,0.527,0.267,0.045,0.092,0.021,0.575,0.114,0.184,0.172,0.23,0.3,0.613,0.071,0.006,0.31,0.231,0.09,42582.3,36504.6,67470,57840,66583,0.184,14415000,29.23,242265.0,0.49
111,12,0,2012,14569717,19317568,14546129,0.753,0.094,0.123,0.125,0.142,0.128,0.181,0.489,0.511,0.46,0.071,0.132,0.025,0.311,0.135,0.298,0.299,0.173,0.096,0.524,0.068,0.003,0.404,0.165,0.48,794071.1,720430.1,41204,37382,45040,0.153,454883364,31.22,2867872.0,0.2
112,13,0,2012,6984539,9919945,6963801,0.702,0.103,0.136,0.14,0.14,0.114,0.115,0.489,0.511,0.471,0.057,0.114,0.026,0.332,0.15,0.283,0.285,0.178,0.104,0.554,0.069,0.007,0.37,0.144,1.01,369040.2,332462.4,37251,33558,47209,0.181,186961000,26.77,4749758.0,0.68
113,15,1,2012,1036573,1392313,1034489,0.743,0.099,0.143,0.126,0.133,0.131,0.151,0.504,0.496,0.495,0.062,0.095,0.015,0.334,0.096,0.283,0.321,0.196,0.105,0.578,0.044,0.033,0.345,0.182,0.93,61161.6,55487.6,43531,39492,66259,0.138,32116000,30.98,865086.0,0.83
114,16,0,2012,1101867,1595728,1104244,0.692,0.099,0.132,0.123,0.127,0.121,0.132,0.501,0.499,0.55,0.052,0.125,0.013,0.26,0.102,0.277,0.366,0.173,0.082,0.584,0.051,0.002,0.363,0.141,0.15,55719.8,50778.0,34825,31736,45489,0.144,30659000,27.82,958861.0,0.87
115,17,0,2012,9282277,12875255,9270184,0.72,0.097,0.138,0.132,0.142,0.121,0.132,0.491,0.509,0.476,0.059,0.1,0.018,0.346,0.124,0.27,0.289,0.197,0.12,0.593,0.067,0.002,0.338,0.216,0.23,593814.2,523039.5,45932,40458,55137,0.126,269799048,29.07,2727783.0,0.29
116,18,0,2012,4655979,6537334,4654582,0.712,0.102,0.127,0.126,0.141,0.124,0.136,0.492,0.508,0.498,0.06,0.127,0.014,0.301,0.124,0.353,0.288,0.15,0.084,0.586,0.056,0.001,0.357,0.159,0.12,256284.7,232188.7,39150,35469,46974,0.152,119929394,25.76,2706951.0,0.58
117,19,0,2012,2209581,3074186,2210340,0.719,0.102,0.127,0.117,0.138,0.128,0.153,0.496,0.504,0.527,0.063,0.114,0.013,0.283,0.084,0.323,0.33,0.181,0.082,0.641,0.036,0.001,0.323,0.217,0.19,131137.0,118077.1,42541,38305,50957,0.103,76066706,34.43,674374.0,0.31
