,fips_code,high_tourist_border_sales,year,niaaa_pop_21_plus,census_total_pop,census_total_pop_21_plus,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,census_percent_pop_in_poverty_est,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
90,44,0,2011,777488,1051302,775861,0.738,0.114,0.123,0.128,0.151,0.129,0.146,0.484,0.516,0.449,0.065,0.114,0.019,0.353,0.152,0.264,0.272,0.188,0.123,0.595,0.068,0.003,0.333,0.197,0.1,46685.4,41727.4,44099,39416,53636,0.134,20439947,26.29,220999.0,0.28
91,45,0,2011,3384874,4679230,3364366,0.719,0.104,0.126,0.129,0.139,0.13,0.14,0.486,0.514,0.481,0.069,0.101,0.036,0.312,0.158,0.307,0.294,0.156,0.084,0.53,0.072,0.009,0.389,0.154,0.77,160391.1,146192.4,34398,31353,42367,0.19,109802000,32.44,852531.0,0.25
92,46,0,2011,582721,824082,581802,0.706,0.103,0.127,0.117,0.14,0.123,0.146,0.498,0.502,0.522,0.06,0.105,0.011,0.301,0.094,0.314,0.328,0.182,0.081,0.645,0.037,0.006,0.312,0.221,0.27,36655.0,33901.4,44530,41184,48321,0.145,22351000,38.36,93093.0,0.16
93,47,0,2011,4643139,6403353,4642431,0.725,0.097,0.13,0.131,0.144,0.128,0.137,0.487,0.513,0.492,0.067,0.131,0.023,0.288,0.158,0.334,0.272,0.153,0.083,0.548,0.065,0.003,0.384,0.1,0.14,241431.7,223730.9,37698,34934,41693,0.163,132071314,28.44,1049753.0,0.23
94,48,0,2011,17575107,25674681,17561482,0.684,0.103,0.143,0.137,0.134,0.106,0.105,0.496,0.504,0.496,0.052,0.11,0.027,0.314,0.189,0.255,0.291,0.177,0.087,0.589,0.055,0.005,0.351,0.189,0.19,1074858.0,977508.0,41937,38139,49392,0.174,606196584,34.49,19371993.0,1.1
95,49,0,2011,1799181,2817222,1800205,0.639,0.116,0.157,0.123,0.108,0.091,0.092,0.503,0.497,0.562,0.036,0.094,0.016,0.292,0.097,0.237,0.369,0.201,0.097,0.624,0.054,0.003,0.319,0.12,0.41,95881.7,86697.8,34022,30763,55869,0.11,32023000,17.8,2672138.0,1.49
96,50,0,2011,467364,626431,467944,0.747,0.105,0.112,0.124,0.159,0.149,0.15,0.492,0.508,0.509,0.052,0.12,0.011,0.308,0.082,0.302,0.262,0.214,0.14,0.634,0.043,0.001,0.321,0.185,0.27,27547.8,24950.8,43756,39631,52776,0.116,17267000,36.95,6194730.0,13.25
97,51,0,2011,5896099,8096604,5878135,0.726,0.102,0.136,0.137,0.149,0.123,0.125,0.491,0.509,0.503,0.056,0.101,0.026,0.314,0.122,0.256,0.271,0.205,0.146,0.598,0.049,0.016,0.336,0.179,0.26,385635.1,340027.0,47564,41939,61882,0.114,155767837,26.42,1904640.0,0.32
98,53,0,2011,4962992,6830038,4965438,0.727,0.098,0.141,0.134,0.143,0.128,0.126,0.499,0.501,0.506,0.05,0.124,0.017,0.302,0.099,0.238,0.344,0.202,0.117,0.574,0.066,0.01,0.35,0.178,0.76,302460.8,274208.7,44281,40145,56835,0.125,120311000,24.24,7301492.0,1.47
99,54,0,2011,1395648,1855364,1389668,0.749,0.094,0.117,0.126,0.145,0.147,0.163,0.493,0.507,0.494,0.081,0.129,0.02,0.276,0.158,0.416,0.241,0.117,0.068,0.495,0.048,0.0,0.457,0.101,0.18,64059.0,57990.1,34490,31222,38482,0.175,42319557,30.32,94705.0,0.07
100,55,0,2011,4130877,5711767,4129608,0.723,0.097,0.128,0.124,0.151,0.129,0.139,0.496,0.504,0.513,0.058,0.105,0.012,0.312,0.096,0.331,0.308,0.174,0.09,0.621,0.055,0.001,0.324,0.243,0.06,234631.6,209758.0,41069,36715,50395,0.131,151838000,36.76,12028775.0,2.91
101,56,0,2011,408288,568158,407937,0.718,0.101,0.14,0.117,0.142,0.136,0.126,0.509,0.491,0.525,0.052,0.129,0.013,0.28,0.08,0.308,0.365,0.165,0.083,0.65,0.035,0.006,0.309,0.189,0.02,28699.9,26059.7,50630,45972,56322,0.107,13177258,32.27,328817.0,0.81
102,1,0,2012,3497749,4822023,3481501,0.722,0.101,0.126,0.128,0.139,0.127,0.145,0.485,0.515,0.485,0.07,0.127,0.025,0.293,0.16,0.313,0.294,0.147,0.086,0.523,0.058,0.003,0.415,0.123,1.05,172101.5,157273.8,35564,32500,41574,0.162,102300000,29.25,225494.0,0.06
